Date,prcp
1993-06-01,3.096604938271605e-05
1993-07-01,3.919753086419753e-05
1993-08-01,1.8128858024691356e-05
1993-09-01,7.427932098765431e-05
1993-10-01,1.0191358024691358e-05
1993-11-01,1.7246913580246915e-05
1993-12-01,2.6752314814814815e-05
1994-01-01,4.458719135802469e-05
1994-02-01,3.498379629629629e-05
1994-03-01,6.046219135802468e-05
1994-04-01,6.173611111111112e-06
1994-05-01,9.603395061728395e-06
1994-06-01,7.496527777777777e-05
1994-07-01,8.819444444444444e-05
1994-08-01,3.8315586419753084e-05
1994-09-01,1.5189043209876544e-05
1994-10-01,8.87824074074074e-05
1994-11-01,3.057407407407407e-05
1994-12-01,4.5273148148148146e-05
1995-01-01,6.516589506172839e-05
1995-02-01,7.800308641975309e-05
1995-03-01,1.6560956790123456e-05
1995-04-01,1.2249228395061728e-05
1995-05-01,2.1264660493827158e-05
1995-06-01,8.398070987654321e-05
1995-07-01,5.5856481481481484e-05
1995-08-01,5.7620370370370367e-05
1995-09-01,4.213734567901234e-05
1995-10-01,2.8614197530864198e-05
1995-11-01,2.5478395061728393e-05
1995-12-01,3.949151234567901e-05
1996-01-01,3.880555555555555e-05
1996-02-01,1.8814814814814816e-05
1996-03-01,5.8698302469135804e-05
1996-04-01,1.3621141975308641e-05
1996-05-01,9.5054012345679e-06
1996-06-01,1.9990740740740742e-05
1996-07-01,4.625308641975308e-05
1996-08-01,4.3509259259259256e-05
1996-09-01,4.017746913580246e-05
1996-10-01,2.06766975308642e-05
1996-11-01,1.175925925925926e-05
1996-12-01,2.8026234567901238e-05
1997-01-01,4.556712962962962e-05
1997-02-01,5.791435185185185e-05
1997-03-01,2.469444444444444e-05
1997-04-01,3.2043981481481474e-05
1997-05-01,2.2440586419753084e-05
1997-06-01,8.153086419753087e-05
1997-07-01,6.594984567901235e-05
1997-08-01,4.174537037037037e-05
1997-09-01,5.7228395061728396e-05
1997-10-01,4.135339506172839e-05
1997-11-01,4.860493827160494e-05
1997-12-01,7.329938271604938e-05
1998-01-01,8.280478395061727e-05
1998-02-01,6.065817901234567e-05
1998-03-01,7.045756172839506e-05
1998-04-01,5.5562499999999995e-05
1998-05-01,3.312191358024691e-05
1998-06-01,3.8609567901234565e-05
1998-07-01,5.683641975308641e-05
1998-08-01,5.3210648148148136e-05
1998-09-01,8.006095679012345e-05
1998-10-01,4.409722222222222e-06
1998-11-01,7.055555555555555e-06
1998-12-01,2.1264660493827158e-05
1999-01-01,6.271604938271604e-05
1999-02-01,2.7438271604938268e-05
1999-03-01,2.5478395061728393e-05
1999-04-01,2.1362654320987654e-05
1999-05-01,2.008873456790123e-05
1999-06-01,4.370524691358024e-05
1999-07-01,4.7722993827160495e-05
1999-08-01,3.459182098765432e-05
1999-09-01,5.1250771604938274e-05
1999-10-01,2.3714506172839503e-05
1999-11-01,8.819444444444445e-06
1999-12-01,1.5679012345679007e-05
2000-01-01,6.683179012345679e-05
2000-02-01,7.741512345679013e-06
2000-03-01,3.596373456790123e-05
2000-04-01,1.7246913580246915e-05
2000-05-01,1.8618827160493828e-06
2000-06-01,5.1250771604938274e-05
2000-07-01,2.420447530864197e-05
2000-08-01,4.546913580246914e-05
2000-09-01,9.280015432098764e-05
2000-10-01,0.0
2000-11-01,3.380787037037037e-05
2000-12-01,2.1754629629629625e-05
2001-01-01,3.214197530864197e-05
2001-02-01,2.6360339506172838e-05
2001-03-01,7.44753086419753e-05
2001-04-01,1.1563271604938273e-05
2001-05-01,5.1250771604938274e-05
2001-06-01,6.252006172839505e-05
2001-07-01,7.61412037037037e-05
2001-08-01,2.2146604938271603e-05
2001-09-01,4.105941358024691e-05
2001-10-01,1.4699074074074076e-06
2001-11-01,1.1661265432098764e-05
2001-12-01,1.1661265432098764e-05
2002-01-01,1.5972993827160492e-05
2002-02-01,2.1460648148148147e-05
2002-03-01,3.5473765432098764e-05
2002-04-01,1.950077160493827e-05
2002-05-01,3.184799382716049e-05
2002-06-01,2.9692129629629628e-05
2002-07-01,3.998148148148147e-05
2002-08-01,4.292129629629629e-05
2002-09-01,4.3117283950617286e-05
2002-10-01,2.9692129629629628e-05
2002-11-01,4.7722993827160495e-05
2002-12-01,3.900154320987654e-05
2003-01-01,3.126003086419753e-05
2003-02-01,4.899691358024691e-05
2003-03-01,0.000110929012345679
2003-04-01,9.730787037037038e-05
2003-05-01,7.075154320987654e-05
2003-06-01,8.829243827160494e-05
2003-07-01,4.635108024691358e-05
2003-08-01,3.870756172839506e-05
2003-09-01,4.3313271604938264e-05
2003-10-01,3.282793209876543e-05
2003-11-01,1.4209104938271603e-05
2003-12-01,1.5777006172839507e-05
2004-01-01,3.380787037037037e-05
2004-02-01,6.604783950617284e-05
2004-03-01,1.3229166666666667e-05
2004-04-01,1.793287037037037e-05
2004-05-01,2.8908179012345673e-05
2004-06-01,8.211882716049382e-05
2004-07-01,4.44891975308642e-05
2004-08-01,2.312654320987654e-05
2004-09-01,8.486265432098765e-05
2004-10-01,3.625771604938271e-06
2004-11-01,4.517515432098765e-05
2004-12-01,1.6364969135802467e-05
2005-01-01,1.989274691358025e-05
2005-02-01,4.586111111111111e-05
2005-03-01,4.9976851851851845e-05
2005-04-01,1.90108024691358e-05
2005-05-01,1.4209104938271604e-05
2005-06-01,5.340663580246914e-05
2005-07-01,5.791435185185185e-05
2005-08-01,3.2729938271604933e-05
2005-09-01,0.0
2005-10-01,2.587037037037037e-05
2005-11-01,2.8124228395061724e-05
2005-12-01,5.2622685185185186e-05
2006-01-01,2.998611111111111e-05
2006-02-01,2.6360339506172838e-05
2006-03-01,2.9104166666666665e-05
2006-04-01,2.9398148148148146e-05
2006-05-01,1.6266975308641974e-05
2006-06-01,5.174074074074074e-05
2006-07-01,2.3420524691358025e-05
2006-08-01,2.302854938271605e-05
2006-09-01,2.2636574074074073e-05
2006-10-01,3.410185185185185e-05
2006-11-01,2.4988425925925922e-05
2006-12-01,2.6458333333333334e-05
2007-01-01,4.066743827160494e-05
2007-02-01,2.459645061728395e-05
2007-03-01,1.9794753086419753e-05
2007-04-01,2.0872685185185183e-05
2007-05-01,6.17361111111111e-06
2007-06-01,4.3313271604938264e-05
2007-07-01,4.850694444444444e-05
2007-08-01,2.6360339506172838e-05
2007-09-01,2.0872685185185183e-05
2007-10-01,1.7246913580246915e-05
2007-11-01,4.115740740740741e-06
2007-12-01,6.830169753086419e-05
